朝向,楼层,成交,单价,成交价,税费,区县,区域,装修,电梯,小区,布局,面积
东,高楼层(共16层) 2006年建塔楼,2018.08.12,83174,478.5,房屋满五年,东城,安定门,精装,有电梯,西营房,1室1厅,57.53
南 北,底层(共5层) 1980年建板楼,2018.08.12,107898,638,房屋满两年,东城,安定门,精装,无电梯,青年湖东里,3室1厅,59.13
东,中楼层(共11层) 2012年建板楼,2018.08.09,88371,788,房屋满两年,东城,安定门,简装,有电梯,上龙西里,3室1厅,89.17
南 北,顶层(共5层) 1980年建板楼,2018.08.08,86934,501,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,2室1厅,57.63
东 西,中楼层(共5层) 1986年建板楼,2018.08.08,102804,550,房屋满两年,东城,安定门,简装,无电梯,花园胡同8号院,2室1厅,53.5
东 西,中楼层(共6层) 1980年建板楼,2018.08.07,97463,530,房屋满五年,东城,安定门,简装,无电梯,六铺炕,2室1厅,54.38
东 西,中楼层(共6层) 1980年建板楼,2018.08.07,100613,575,房屋满五年,东城,安定门,精装,无电梯,六铺炕,2室1厅,57.15
东 西,中楼层(共6层) 2000年建板楼,2018.08.06,103288,1150,房屋满两年,东城,安定门,简装,无电梯,官书院,2室1厅,111.34
南 北,中楼层(共6层) 1992年建板楼,2018.08.06,89335,593,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,2室1厅,66.38
南,中楼层(共6层) 1992年建板楼,2018.08.05,108047,858,房屋满五年,东城,安定门,精装,无电梯,青年湖南街,2室1厅,79.41
西北,低楼层(共11层) 2012年建板楼,2018.08.04,87852,700,房屋满两年,东城,安定门,精装,有电梯,上龙西里,2室1厅,79.68
西,中楼层(共16层) 1992年建塔楼,2018.08.01,114789,496,房屋满两年,东城,安定门,其他,有电梯,六铺炕,1室1厅,43.21
南,低楼层(共12层) 1996年建板塔结合,2018.08,,,近地铁,东城,安定门,其他,有电梯,青年湖北里,1室1厅,39.21
暂无数据,中楼层(共12层) 1990年建板塔结合,2018.08,,,近地铁,东城,安定门,其他,,,,
暂无数据,中楼层(共6层) 1988年建板楼,2018.08,,,,东城,安定门,其他,无电梯,,,
暂无数据,中楼层(共20层) 1994年建塔楼,2018.08,,,近地铁,东城,安定门,其他,有电梯,,,
东 南 北,顶层(共20层) 1994年建塔楼,2018.08,,,近地铁,东城,安定门,其他,有电梯,安外东河沿,3室2厅,100
东 南 北,顶层(共20层) 1994年建塔楼,2018.08,,,近地铁,东城,安定门,其他,有电梯,安外东河沿,3室2厅,100
暂无数据,中楼层(共4层) 1958年建板楼,2018.08,,,,东城,安定门,其他,,,,
暂无数据,顶层(共3层) 1958年建板楼,2018.08,,,,东城,安定门,其他,,,,
暂无数据,底层(共3层) 1958年建板楼,2018.08,,,,东城,安定门,其他,,,,
南,低楼层(共12层) 1996年建板塔结合,2018.08,,,近地铁,东城,安定门,其他,有电梯,青年湖北里,1室1厅,39.21
东,中楼层(共12层) 1988年建板塔结合,2018.08,,,房屋满五年,东城,安定门,毛坯,有电梯,安外大街3号院,2室1厅,51.45
东,低楼层(共6层) 1984年建板楼,2018.08,,,近地铁,东城,安定门,简装,无电梯,花园胡同,1室1厅,38.75
东 西,中楼层(共14层) 1998年建塔楼,2018.08,,,房屋满五年,东城,安定门,精装,有电梯,上龙嘉园,3室1厅,142.05
南 北,低楼层(共6层) 1992年建板楼,2018.08,,,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,2室1厅,66.38
东,低楼层(共19层) 2006年建塔楼,2018.08,,,房屋满五年,东城,安定门,精装,有电梯,西营房,2室1厅,85.12
东 西,顶层(共6层) 1980年建板楼,2018.08,,,房屋满五年,东城,安定门,精装,无电梯,六铺炕,2室1厅,54.38
南 北,低楼层(共6层) 1998年建板楼,2018.08,,,房屋满五年,东城,安定门,精装,无电梯,安外东河沿,2室1厅,65.16
东南 西,低楼层(共20层) 1985年建塔楼,2018.08,,,房屋满五年,东城,安定门,其他,有电梯,外馆东街50号院,3室1厅,80.55
南 北,高楼层(共6层) 1980年建板楼,2018.08,,,近地铁,东城,安定门,其他,无电梯,六铺炕,2室1厅,54.39
东南,中楼层(共18层) 1993年建塔楼,2018.08,,,房屋满五年,东城,安定门,精装,有电梯,上龙西里,1室1厅,55.55
南 北,底层(共5层) 1980年建板楼,2018.08,,,近地铁,东城,安定门,简装,无电梯,安德路47号院,3室0厅,53.85
南,底层(共15层) 1989年建塔楼,2018.07.29,82652,495,挂牌509万,东城,安定门,其他,有电梯,黄寺大街28号院,2室1厅,59.89
南 北,中楼层(共5层) 1980年建板楼,2018.07.28,91028,546.8,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,3室1厅,60.07
南 北,地下室(共6层) 1998年建板楼,2018.07.28,79857,490,房屋满两年,东城,安定门,精装,无电梯,安外东河沿,2室1厅,61.36
东 西,高楼层(共7层) 2002年建板楼,2018.07.24,120398,569,房屋满五年,东城,安定门,精装,无电梯,永康胡同1号院,1室1厅,47.26
西,中楼层(共19层) 2006年建塔楼,2018.07.23,83479,478,房屋满五年,东城,安定门,简装,有电梯,西营房,1室1厅,57.26
东,地下室 2005年建塔楼,2018.07.21,22206,59,房屋满五年,东城,安定门,其他,有电梯,,,
